AMZN,GE,GOOG,JPM,LIN,LLY,MSFT,NEE,PLD,WMT,XOM
914906348722.5267,117071035170.85701,719344638465.1744,63139213940.41053,181555666309.26645,222075938273.214,5183286497650.69,48757481618.62883,,74678847336.48149,64721831908.584694
891334042836.3845,121440326260.14215,710298927520.3329,62682656658.25244,180708579946.06363,221479910609.09647,5120205906175.172,48851075287.95998,,74063243342.16599,65440250326.978966
888510853411.2034,123274365885.7576,709690084781.684,62707002979.69384,182855960772.2697,222110995325.31424,5125772606100.647,49051236403.12617,,74169626411.64827,64501431388.03735
915821787822.6774,127392094729.07777,730465344238.3408,63522721406.30709,184819838825.10764,216501245871.3319,5233380105341.213,49259177333.49949,,74846049182.39256,65130025925.36409
917181311917.5922,125590598457.34949,741300327627.0327,63334022493.72242,185942054855.30072,216501245871.3319,5270022775626.664,49620498121.806625,,74762460114.02467,65309625511.64446
926889784479.7157,128936243045.32285,741374886570.4266,63547056875.811134,188175638234.57092,217921193705.12357,5310840656735.076,49641305121.86003,,75264046684.41766,65889249292.6799
924373581667.9805,132539255783.228,736547609728.6814,64125383746.956924,187981393488.42563,215764975554.21008,5315014008769.494,49643886525.07522,,75050109312.19426,65668820669.55065
938703332004.7769,128164189081.6489,735870417341.988,64861964420.45612,190376888987.17093,217272602129.76053,5376240272795.55,49711488134.4466,,75202933914.21541,65432096563.57287
955034016069.1594,131252455422.46614,735746184035.799,65251565249.173874,188348310111.5463,219551541629.9298,5453235755296.213,49615308611.20507,,76150418944.10326,66191327960.197784
965833420351.3271,131123796590.56097,744810522866.6887,65014151989.83171,187301643585.2559,221918130982.6514,5456945897225.974,48999238931.12104,,76295590224.34396,66019862064.05073
985250449123.1527,131509803377.94937,760416852039.78,63626205480.86254,190592724387.20932,224670420131.49216,5450915615438.133,49355343504.655426,,75371046192.45724,66387251131.90859
997305152617.3052,132153218704.16673,765119848176.1351,62621777289.727264,188941715183.8668,224933355244.54578,5576150378179.855,49885643837.56743,,75691964105.38,66770931667.960434
967434184062.9117,128421526939.90782,748941979435.6924,60728586281.68588,183287542648.73083,224915877274.60706,5429116486933.393,50410723505.01148,,75095948631.681,65701491928.33887
972636477918.5099,127134736676.37027,741176094320.8436,60223303800.832954,183438588302.3668,227668151978.84454,5457410222603.757,50327544462.44503,,75011909088.98279,65244311096.64993
977844376161.874,129965675256.15288,735969813466.7795,60825960715.514114,184496085725.05002,229684156365.96024,5469005717286.238,50688865250.75217,,75126519242.28731,66093350315.72415
